Houshold_size,Food_safety_importance,Different_plates,Thermometer,Different_utensil,Different_cutting_boards,Not_leaving_food_out,Pork,Poultry,Beef,Sheep_Goat,Fish,Ground_Meat,Wash_Any
6,3,always,usually,never,never,never,1,1,1,1,1,1,1
6,2,always,seldom,usually,usually,sometimes,0,0,0,0,0,0,0
1,4,usually,usually,seldom,usually,sometimes,0,0,0,0,0,0,0
1,4,always,about half the time,always,sometimes,seldom,0,0,0,0,0,0,0
2,4,always,seldom,always,always,about half the time,NA,0,0,0,0,0,NA
2,2,always,never,usually,about half the time,usually,0,0,0,0,0,0,0
4,4,usually,never,usually,always,sometimes,0,0,0,NA,0,0,NA
2,4,always,about half the time,always,usually,sometimes,0,1,0,0,1,0,1
6,4,always,usually,always,always,usually,0,0,0,0,1,0,1
3,3,always,about half the time,about half the time,always,about half the time,0,0,0,0,0,0,0
2,4,always,usually,always,always,usually,0,0,0,0,0,0,0
5,4,always,always,never,always,usually,0,0,0,0,0,0,0
3,4,always,usually,usually,usually,usually,0,0,0,0,0,0,0
2,5,always,never,always,always,seldom,0,0,0,0,0,0,0
3,5,always,usually,always,always,usually,0,0,0,0,0,0,0
1,4,usually,always,sometimes,usually,usually,0,0,0,NA,NA,0,NA
4,4,always,sometimes,about half the time,always,about half the time,0,0,0,0,0,0,0
4,2,always,sometimes,usually,usually,about half the time,0,0,0,0,0,0,0
2,5,always,sometimes,always,always,always,0,0,0,0,0,0,0
2,4,always,usually,seldom,seldom,seldom,0,0,0,0,0,0,0
2,5,always,always,always,always,usually,0,0,0,NA,NA,0,NA
3,4,always,always,usually,always,usually,0,0,0,0,1,0,1
2,5,always,always,always,always,always,0,0,0,0,0,0,0
2,5,always,seldom,seldom,always,always,0,0,0,0,0,0,0
1,4,always,usually,always,always,about half the time,0,0,0,0,0,0,0
5,5,always,about half the time,always,always,sometimes,0,0,0,0,0,0,0
3,4,always,always,always,always,usually,0,0,0,0,0,0,0
2,3,always,seldom,seldom,usually,usually,0,0,0,0,0,0,0
2,5,always,about half the time,always,always,sometimes,0,0,0,0,0,0,0
2,4,always,always,always,always,seldom,0,0,0,0,0,0,0
3,4,usually,sometimes,about half the time,seldom,seldom,0,0,0,0,0,0,0
2,4,always,usually,never,always,usually,0,0,0,0,1,0,1
3,4,always,about half the time,always,always,seldom,0,0,0,0,1,0,1
1,4,usually,usually,sometimes,always,usually,0,0,0,0,0,0,0
1,4,always,about half the time,always,always,usually,0,0,0,0,0,0,0
2,4,always,usually,always,always,usually,0,0,0,0,0,0,0
3,5,always,about half the time,always,always,about half the time,0,0,0,0,0,0,0
1,5,always,sometimes,usually,always,usually,0,0,0,0,0,0,0
4,4,usually,usually,about half the time,never,sometimes,0,0,0,0,0,0,0
2,4,always,usually,usually,usually,about half the time,0,0,0,0,0,0,0
2,4,always,seldom,usually,always,sometimes,0,0,0,0,0,0,0
1,5,always,usually,always,always,always,0,0,0,0,0,0,0
1,4,always,never,about half the time,always,about half the time,0,0,0,0,0,0,0
3,5,always,about half the time,always,always,usually,0,0,0,0,0,0,0
2,4,always,always,always,always,about half the time,0,0,0,0,0,0,0
3,4,usually,seldom,usually,always,usually,0,0,0,0,0,0,0
3,5,always,about half the time,always,always,usually,0,0,0,NA,0,0,NA
2,4,always,always,always,always,always,0,0,0,0,0,0,0
1,4,always,never,seldom,always,always,0,1,0,NA,0,0,1
3,3,always,never,usually,usually,sometimes,0,0,0,0,0,0,0
3,4,always,about half the time,usually,always,always,0,1,0,NA,1,0,1
5,2,always,never,always,always,about half the time,NA,1,0,NA,0,0,1
4,4,usually,seldom,always,always,sometimes,0,0,0,NA,0,0,NA
3,4,always,about half the time,always,always,usually,0,0,0,0,0,0,0
5,5,always,never,always,always,about half the time,0,1,1,0,0,0,1
2,5,always,usually,always,never,sometimes,0,0,0,0,0,0,0
2,5,always,never,always,always,usually,0,1,0,0,0,0,1
1,3,always,never,always,always,always,1,1,NA,NA,1,0,1
4,4,always,always,always,always,always,0,0,0,0,0,0,0
2,4,always,always,always,always,usually,0,0,0,NA,NA,NA,NA
3,4,usually,about half the time,usually,usually,sometimes,0,0,0,0,0,0,0
2,4,always,always,usually,always,usually,0,0,0,NA,0,0,NA
1,5,always,usually,always,always,usually,0,0,0,0,0,0,0
3,5,always,always,never,always,always,0,0,0,0,0,0,0
2,5,always,always,always,always,usually,0,0,0,NA,0,0,NA
3,5,always,always,always,always,about half the time,NA,1,0,NA,NA,0,1
5,5,seldom,seldom,usually,about half the time,usually,NA,0,0,NA,1,0,1
2,4,usually,usually,sometimes,usually,sometimes,0,0,0,NA,0,0,NA
5,5,always,always,usually,always,usually,1,1,1,1,1,1,1
3,4,always,sometimes,always,always,sometimes,1,0,0,0,1,0,1
2,4,always,seldom,always,always,seldom,1,1,1,1,1,1,1
4,5,always,always,seldom,always,always,0,0,0,0,0,0,0
2,4,usually,about half the time,about half the time,usually,seldom,0,0,0,0,0,0,0
4,5,always,always,always,always,about half the time,0,0,0,0,0,0,0
2,5,always,about half the time,usually,always,usually,0,1,0,0,1,0,1
4,4,usually,usually,about half the time,always,usually,0,0,0,0,0,0,0
5,5,always,usually,always,always,always,0,NA,0,0,0,0,NA
1,4,always,sometimes,always,always,usually,0,0,NA,0,0,0,NA
5,3,usually,sometimes,usually,usually,sometimes,0,0,0,0,0,0,0
1,4,always,never,always,always,usually,0,0,0,0,0,0,0
1,5,always,usually,always,always,usually,0,0,0,0,0,0,0
1,4,always,never,always,always,about half the time,0,0,0,0,0,0,0
4,4,always,never,always,always,always,0,0,0,NA,NA,0,NA
5,4,always,about half the time,always,always,always,0,0,0,0,0,0,0
2,4,always,usually,always,always,always,NA,0,0,NA,0,0,NA
5,3,always,about half the time,usually,always,about half the time,0,0,0,NA,NA,0,NA
5,3,usually,seldom,sometimes,sometimes,about half the time,1,1,0,0,1,0,1
6,4,usually,never,always,always,always,0,0,0,0,0,0,0
